classe,subset,codigo,produto,arquivo,largura,altura,canais,url_origem,caminho
chocolate,train,7622400013942,Noir praliné,chocolate_7622400013942.jpg,192,400,3,https://images.openfoodfacts.org/images/products/762/240/001/3942/front_fr.86.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_7622400013942.jpg
chocolate,train,3700279301484,Crème Dessert Praliné,chocolate_3700279301484.jpg,210,400,3,https://images.openfoodfacts.org/images/products/370/027/930/1484/front_en.77.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3700279301484.jpg
chocolate,train,3664346312608,180G POULAIN PRALINOISE,chocolate_3664346312608.jpg,236,400,3,https://images.openfoodfacts.org/images/products/366/434/631/2608/front_fr.99.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_3664346312608.jpg
chocolate,train,7610400084895,Lindt Chocoletti Lait praliné noisettes,chocolate_7610400084895.jpg,194,400,3,https://images.openfoodfacts.org/images/products/761/040/008/4895/front_fr.50.400.jpg,banco_imagens_q3/organizado/train/chocolate/chocolate_7610400084895.jpg
chocolate,val,4056489331391,Mozart Kugeln,chocolate_4056489331391.jpg,400,193,3,https://images.openfoodfacts.org/images/products/405/648/933/1391/front_de.64.400.jpg,banco_imagens_q3/organizado/val/chocolate/chocolate_4056489331391.jpg
chocolate,val,3664346306638,Rochers - chocolat au lait,chocolate_3664346306638.jpg,400,63,3,https://images.openfoodfacts.org/images/products/366/434/630/6638/front_fr.38.400.jpg,banco_imagens_q3/organizado/val/chocolate/chocolate_3664346306638.jpg
chocolate,test,6111017045589,Pepite chocolat,chocolate_6111017045589.jpg,321,400,3,https://images.openfoodfacts.org/images/products/611/101/704/5589/front_fr.3.400.jpg,banco_imagens_q3/organizado/test/chocolate/chocolate_6111017045589.jpg
chocolate,test,7622400013928,Lait Praliné Double Lait,chocolate_7622400013928.jpg,190,400,3,https://images.openfoodfacts.org/images/products/762/240/001/3928/front_fr.90.400.jpg,banco_imagens_q3/organizado/test/chocolate/chocolate_7622400013928.jpg
chocolate,test,7613032910501,NESTLÉ DESSERT Praliné 170g,chocolate_7613032910501.jpg,184,400,3,https://images.openfoodfacts.org/images/products/761/303/291/0501/front_fr.250.400.jpg,banco_imagens_q3/organizado/test/chocolate/chocolate_7613032910501.jpg
biscoito,train,3175681134904,Sablé Nature sans sucres,biscoito_3175681134904.jpg,400,181,3,https://images.openfoodfacts.org/images/products/317/568/113/4904/front_fr.112.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3175681134904.jpg
biscoito,train,7622300689124,Granola L'original Gros éclats de chocolat,biscoito_7622300689124.jpg,400,140,3,https://images.openfoodfacts.org/images/products/762/230/068/9124/front_fr.149.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_7622300689124.jpg
biscoito,train,3175681116832,Sablé saveur COCO,biscoito_3175681116832.jpg,400,180,3,https://images.openfoodfacts.org/images/products/317/568/111/6832/front_fr.140.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3175681116832.jpg
biscoito,train,3178530407396,Petit Cookies Pépites de chocolat,biscoito_3178530407396.jpg,259,400,3,https://images.openfoodfacts.org/images/products/317/853/040/7396/front_fr.127.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3178530407396.jpg
biscoito,train,3175681290297,Cookie Chocolat saveur noisette Sans sucres,biscoito_3175681290297.jpg,400,156,3,https://images.openfoodfacts.org/images/products/317/568/129/0297/front_fr.54.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3175681290297.jpg
biscoito,train,5000168198514,Sablés chocolat,biscoito_5000168198514.jpg,400,165,3,https://images.openfoodfacts.org/images/products/500/016/819/8514/front_fr.158.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_5000168198514.jpg
biscoito,train,3175681851856,Biscuit raisins,biscoito_3175681851856.jpg,400,146,3,https://images.openfoodfacts.org/images/products/317/568/185/1856/front_fr.210.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3175681851856.jpg
biscoito,train,6111259343344,King cookies choco,biscoito_6111259343344.jpg,400,300,3,https://images.openfoodfacts.org/images/products/611/125/934/3344/front_fr.18.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_6111259343344.jpg
biscoito,train,3175681134935,Sablés sans sucres saveur citron yuzu,biscoito_3175681134935.jpg,400,177,3,https://images.openfoodfacts.org/images/products/317/568/113/4935/front_fr.123.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3175681134935.jpg
biscoito,train,3175681105423,Cookie cacao pépites Sans Sucre,biscoito_3175681105423.jpg,400,149,3,https://images.openfoodfacts.org/images/products/317/568/110/5423/front_fr.135.400.jpg,banco_imagens_q3/organizado/train/biscoito/biscoito_3175681105423.jpg
biscoito,val,8434165437418,Cuetara Digesta Light 200G Marie Cookies,biscoito_8434165437418.jpg,185,400,3,https://images.openfoodfacts.org/images/products/843/416/543/7418/front_fr.51.400.jpg,banco_imagens_q3/organizado/val/biscoito/biscoito_8434165437418.jpg
biscoito,val,6111259343108,KING COOKIES,biscoito_6111259343108.jpg,400,133,3,https://images.openfoodfacts.org/images/products/611/125/934/3108/front_fr.25.400.jpg,banco_imagens_q3/organizado/val/biscoito/biscoito_6111259343108.jpg
biscoito,test,5000168198491,Sablés Anglais L'Original,biscoito_5000168198491.jpg,400,220,3,https://images.openfoodfacts.org/images/products/500/016/819/8491/front_en.193.400.jpg,banco_imagens_q3/organizado/test/biscoito/biscoito_5000168198491.jpg
biscoito,test,3175680011442,Biscuit soja orange,biscoito_3175680011442.jpg,400,149,3,https://images.openfoodfacts.org/images/products/317/568/001/1442/front_fr.234.400.jpg,banco_imagens_q3/organizado/test/biscoito/biscoito_3175680011442.jpg
biscoito,test,3229820004334,Le cookie Chocolat Noisette,biscoito_3229820004334.jpg,400,146,3,https://images.openfoodfacts.org/images/products/322/982/000/4334/front_fr.179.400.jpg,banco_imagens_q3/organizado/test/biscoito/biscoito_3229820004334.jpg
